,Benchmark (SPY),Strategy,Statistics
Start Period,2020-04-29,2020-04-29,Start Period
End Period,2026-01-02,2026-01-02,End Period
Risk-Free Rate,2.0,2.0,Risk-Free Rate
Time in Market,0,1.0,Time in Market
Cumulative Return,0,-0.24,Cumulative Return
CAGR﹪,0,-0.05,CAGR﹪
Sharpe,-,-0.2,Sharpe
Prob. Sharpe Ratio,-,0.15,Prob. Sharpe Ratio
Smart Sharpe,-,-0.19,Smart Sharpe
Sortino,-15.87,-0.29,Sortino
Smart Sortino,-15.18,-0.28,Smart Sortino
Sortino/√2,-11.22,-0.2,Sortino/√2
Smart Sortino/√2,-10.73,-0.19,Smart Sortino/√2
Omega,0.97,0.97,Omega
Max Drawdown,-,-0.52,Max Drawdown
Max DD Date,-,2022-08-08,Max DD Date
Max DD Period Start,-,2020-05-19,Max DD Period Start
Max DD Period End,-,2026-01-02,Max DD Period End
Longest DD Days,-,-,Longest DD Days
Volatility (ann.),0,0.22,Volatility (ann.)
R^2,0,0,R^2
Information Ratio,-0.01,-0.01,Information Ratio
Calmar,-,-0.09,Calmar
Skew,0,0.07,Skew
Kurtosis,0,0,Kurtosis
Expected Daily,0,0,Expected Daily
Expected Monthly,0,0,Expected Monthly
Expected Yearly,0,-0.04,Expected Yearly
Kelly Criterion,-,-,Kelly Criterion
Risk of Ruin,1.0,0,Risk of Ruin
Daily Value-at-Risk,-,-0.02,Daily Value-at-Risk
Expected Shortfall (cVaR),-,-0.02,Expected Shortfall (cVaR)
Max Consecutive Wins,0,11.0,Max Consecutive Wins
Max Consecutive Losses,0,7.0,Max Consecutive Losses
Gain/Pain Ratio,-,-0.02,Gain/Pain Ratio
Gain/Pain (1M),-,-0.08,Gain/Pain (1M)
Payoff Ratio,-,-,Payoff Ratio
Profit Factor,-,0.98,Profit Factor
Common Sense Ratio,-,0.98,Common Sense Ratio
CPC Index,-,-,CPC Index
Tail Ratio,-,1.0,Tail Ratio
Outlier Win Ratio,-,1.53,Outlier Win Ratio
Outlier Loss Ratio,-,1.42,Outlier Loss Ratio
MTD,0,0.01,MTD
3M,0,0.01,3M
6M,0,0.01,6M
YTD,0,0.01,YTD
1Y,0,-0.02,1Y
3Y (ann.),0,0.02,3Y (ann.)
5Y (ann.),0,-0.03,5Y (ann.)
10Y (ann.),0,-0.05,10Y (ann.)
All-time (ann.),0,-0.05,All-time (ann.)
Best Day,0,0.04,Best Day
Worst Day,0,-0.04,Worst Day
Best Month,0,0.16,Best Month
Worst Month,0,-0.14,Worst Month
Best Year,0,0.25,Best Year
Worst Year,0,-0.24,Worst Year
Avg. Drawdown,-,-0.27,Avg. Drawdown
Avg. Drawdown Days,-,-,Avg. Drawdown Days
Recovery Factor,-,0.27,Recovery Factor
Ulcer Index,0,0.33,Ulcer Index
Serenity Index,-,-0.01,Serenity Index
Avg. Up Month,-,-,Avg. Up Month
Avg. Down Month,-,-,Avg. Down Month
Win Days,0,0.5,Win Days
Win Month,0,0.51,Win Month
Win Quarter,0,0.58,Win Quarter
Win Year,0,0.29,Win Year
Beta,-,0.0,Beta
Alpha,-,0.0,Alpha
Correlation,-,-,Correlation
Treynor Ratio,-,0%,Treynor Ratio
